text,category
phys_ram=65536MB used_ram=9974MB phys_disk=1566GB,RESOURCE_USAGE
Deadlock detected in process f563dbb4,WORKFLOW_ERROR
Escalation rule execution failed for ticket 2661 - undefined escalation level,WORKFLOW_ERROR
Deployment d722ca37 finished on email-56.martin.com,SYSTEM_EVENT
Intrusion detected on host desktop-35.bradley.com from IP 203.219.242.214,SECURITY_ALERT
Task assignment for TeamID 274 could not complete due to invalid priority level,WORKFLOW_ERROR
phys_ram=8192MB used_ram=4480MB phys_disk=914GB on node node-30,RESOURCE_USAGE
Storage volume vol-ZtaV at 81% capacity,RESOURCE_USAGE
Task assignment error: team 187 queue full,WORKFLOW_ERROR
Security alert: invalid token for session 060556e8,SECURITY_ALERT
High memory consumption detected: 21645MB of 65536MB used,RESOURCE_USAGE
Pipeline 3d690065 blocked at stage 8,WORKFLOW_ERROR
Service api-gateway stopped on host email-71.fernandez.com,SYSTEM_EVENT
Pipeline cae5226f blocked at stage 10,WORKFLOW_ERROR
Service redis started successfully,SYSTEM_EVENT
Escalation failed for ticket 7351 - no handler defined,WORKFLOW_ERROR
Job 4465 error: invalid configuration in stage 9,WORKFLOW_ERROR
Task assignment for TeamID 758 could not complete due to invalid priority level,WORKFLOW_ERROR
Credential mismatch for user 1604 from 6.72.102.124,SECURITY_ALERT
Task assignment error: team 785 queue full,WORKFLOW_ERROR
phys_ram=16384MB used_ram=26457MB phys_disk=322GB,RESOURCE_USAGE
Deadlock detected in process f14f996b,WORKFLOW_ERROR
Invalid session token detected from IP 53.193.107.181,SECURITY_ALERT
Storage volume vol-BHes at 88% capacity,RESOURCE_USAGE
Backup completed for database analytics_db,SYSTEM_EVENT
Workflow e01355d4 failed at step 7,WORKFLOW_ERROR
swap=1313MB used on server 62,RESOURCE_USAGE
Storage volume vol-JAKP at 85% capacity,RESOURCE_USAGE
Escalation rule execution failed for ticket 7812 - undefined escalation level,WORKFLOW_ERROR
Process 14190b4f timed out after 60s,WORKFLOW_ERROR
Task assignment for TeamID 475 could not complete due to invalid priority level,WORKFLOW_ERROR
Instance JTrtRoEU terminated in region us-east-1,SYSTEM_EVENT
disk_usage=67% on volume vol-wGPo,RESOURCE_USAGE
Task assignment error: team 434 queue full,WORKFLOW_ERROR
Task assignment error: team 965 queue full,WORKFLOW_ERROR
"[instance: WvDAjCqu] Total memory: 32768 MB, used: 59047 MB",RESOURCE_USAGE
"Disk usage at 75% on desktop-62.stevenson.com, volume vol-dXWA",RESOURCE_USAGE
Deadlock detected in process ae436666,WORKFLOW_ERROR
Task 6459 could not be assigned to team 693,WORKFLOW_ERROR
Node node-31 joined cluster cluster-1,SYSTEM_EVENT
Escalation rule undefined for priority P2 in ticket 3666,WORKFLOW_ERROR
Invalid priority level assigned to ticket 6479,WORKFLOW_ERROR
Login failure threshold exceeded for user 5487,SECURITY_ALERT
Health check passed for service nginx on web-48.douglas.info,SYSTEM_EVENT
Undefined escalation path for ticket 7709 in queue 10,WORKFLOW_ERROR
Instance hArCILze terminated in region us-east-1,SYSTEM_EVENT
Scheduled task 9299 completed successfully,SYSTEM_EVENT
Invalid session token detected from IP 30.162.237.127,SECURITY_ALERT
Backup started for database orders_db at 2026-01-17T14:23:23,SYSTEM_EVENT
Scheduled job 7170 started at 2026-01-11T14:09:59,SYSTEM_EVENT
Task 2690 could not be assigned to team 208,WORKFLOW_ERROR
Credential mismatch for user 6523 from 117.75.114.143,SECURITY_ALERT
Instance wEwkZvFx created in region eu-west-1,SYSTEM_EVENT
Scheduled task 6916 completed successfully,SYSTEM_EVENT
"[instance: TLqNjZwq] Total memory: 65536 MB, used: 11456 MB",RESOURCE_USAGE
Service auth-service started successfully,SYSTEM_EVENT
Job 7275 error: invalid configuration in stage 3,WORKFLOW_ERROR
Invalid credentials provided for user 4921 on lt-34.dudley.com,SECURITY_ALERT
Service redis restarted on srv-47.ramirez.com after config update,SYSTEM_EVENT
Backup completed for database orders_db,SYSTEM_EVENT
Storage volume vol-oyXP at 84% capacity,RESOURCE_USAGE
Task 3164 could not be assigned to team 601,WORKFLOW_ERROR
Deployment 44782b10 completed successfully,SYSTEM_EVENT
disk_usage=74% on volume vol-Eykj,RESOURCE_USAGE
Node node-42 joined cluster cluster-1,SYSTEM_EVENT
swap=6706MB used on server 49,RESOURCE_USAGE
Service nginx started successfully,SYSTEM_EVENT
Task assignment error: team 544 queue full,WORKFLOW_ERROR
cpu_usage=57% memory_usage=29% on host desktop-46.thomas-browning.net,RESOURCE_USAGE
Pipeline fc5e8a46 blocked at stage 8,WORKFLOW_ERROR
Invalid priority level assigned to ticket 5717,WORKFLOW_ERROR
disk_usage=63% on volume vol-RhtU,RESOURCE_USAGE
System lt-87.flores-horton.net swap usage critical: 2961MB,RESOURCE_USAGE
phys_ram=16384MB used_ram=41969MB phys_disk=1011GB,RESOURCE_USAGE
Instance giiycRAS created in region ap-south-1,SYSTEM_EVENT
"Disk usage at 98% on laptop-28.gallagher.biz, volume vol-YmbK",RESOURCE_USAGE
Task 5647 could not be assigned to team 608,WORKFLOW_ERROR
Backup completed for database logs_db,SYSTEM_EVENT
Deadlock detected in process edaae2ca,WORKFLOW_ERROR
Authentication error on server 2,SECURITY_ALERT
Node node-48 joined cluster cluster-4,SYSTEM_EVENT
Scheduled job 7591 started at 2026-05-05T11:08:25,SYSTEM_EVENT
Backup started for database analytics_db at 2026-05-29T16:49:03,SYSTEM_EVENT
Pipeline 1f012baf blocked at stage 2,WORKFLOW_ERROR
Task assignment error: team 719 queue full,WORKFLOW_ERROR
cpu_usage=1% memory_usage=99% on host lt-79.williams-blair.com,RESOURCE_USAGE
Credential mismatch for user 2936 from 144.48.223.47,SECURITY_ALERT
Invalid session token detected from IP 97.241.91.4,SECURITY_ALERT
